"Species","M.Mass","F.Mass","Egg.Mass","Cl.size","Mat.syst"
"Coenocorypha_aucklandica","Coenocorypha_aucklandica",101.2,116.1,23.7,2,"PG"
"Coenocorypha_pusilla","Coenocorypha_pusilla",75.9,85.4,16.1,2.1,"MO"
"Eudromias_morinellus","Eudromias_morinellus",100,117,17,2.9,"PA"
"Eurynorhynchus_pygmeus","Eurynorhynchus_pygmeus",31,34.6,8,4,"MO"
"Gallinago_gallinago","Gallinago_gallinago",111,128,16.5,3.9,"MO"
"Haematopus_finschi","Haematopus_finschi",517,554,44.2,2.33,"MO"
"Haematopus_fuliginosus","Haematopus_fuliginosus",740.3,778.5,69.5,2,"MO"
"Haematopus_longirostris","Haematopus_longirostris",602.3,626.3,49,2.5,"MO"
"Haematopus_moquini","Haematopus_moquini",668,730,55.8,1.7,"MO"
"Haematopus_ostralegus","Haematopus_ostralegus",500,536,46.7,2.8,"MO"
"Haematopus_unicolor","Haematopus_unicolor",717,734,48.2,2.4,"MO"
"Jacana_jacana","Jacana_jacana",108.3,142.8,9.7,3.5,"PA"
"Jacana_spinosa","Jacana_spinosa",86.9,145.4,8.3,4,"PA"
"Limnodromus_griseus","Limnodromus_griseus",111,116,17.5,4.1,"MO"
"Limosa_fedoa","Limosa_fedoa",320,421,44.5,4.1,"MO"
"Limosa_haemastica","Limosa_haemastica",222,289,37.5,4,"MO"
"Limosa_lapponica","Limosa_lapponica",313,354,37,3.72,"MO"
"Limosa_limosa","Limosa_limosa",264,315,39,3.9,"MO"
"Metopidius_indicus","Metopidius_indicus",176.2,282.4,11.9,4,"PA"
"Micropalama_himantopus","Micropalama_himantopus",55.8,60.4,11.2,3.9,"MO"
"Numenius_americanus","Numenius_americanus",640.1,758.6,73,4,"MO"
"Numenius_arquata","Numenius_arquata",662,788,76,3.9,"MO"
"Numenius_phaeopus","Numenius_phaeopus",368,398,50,3.9,"MO"
"Numenius_tahitiensis","Numenius_tahitiensis",378,489,54.8,4,"MO"
"Pedionomus_torquatus","Pedionomus_torquatus",54,72.4,10,3.6,"PA"
"Phalaropus_fulicaria","Phalaropus_fulicaria",50.8,61,7.5,3.8,"PA"
"Phalaropus_lobatus","Phalaropus_lobatus",32.4,37.4,6.3,4,"PA"
"Pluvialis_apricaria","Pluvialis_apricaria",175,176,32.8,3.9,"MO"
"Pluvialis_dominica","Pluvialis_dominica",145,146,26,4,"MO"
"Recurvirostra_avosetta","Recurvirostra_avosetta",258,288,31.7,3.9,"MO"
"Rostratula_benghalensis","Rostratula_benghalensis",146,159,12.4,4,"PA"
"Steganopus_tricolor","Steganopus_tricolor",50.2,68.1,9.4,4,"PA"
"Tringa_erythropus","Tringa_erythropus",142,161,24.5,4,"MO"
"Tringa_flavipes","Tringa_flavipes",80,83.7,17.4,4,"MO"
"Tringa_glareola","Tringa_glareola",62,73,13.5,4,"MO"
"Tringa_hypoleucos","Tringa_hypoleucos",45.5,50,12.5,3.9,"MO"
"Tringa_macularia","Tringa_macularia",36.9,48,9,4,"PA"
"Tringa_melanoleuca","Tringa_melanoleuca",164,176,27.9,3.7,"MO"
"Tringa_nebularia","Tringa_nebularia",172,175,30.5,3.9,"MO"
"Tringa_ochropus","Tringa_ochropus",75,85,15.5,3.9,"MO"
"Tringa_stagnatilis","Tringa_stagnatilis",67.1,76,14,4,"MO"
"Tringa_totanus","Tringa_totanus",123,135,22.3,4,"MO"
"Vanellus_armatus","Vanellus_armatus",162,167,16.5,3.1,"MO"
"Vanellus_lugubris","Vanellus_lugubris",109.5,113,13.7,3,"MO"
"Vanellus_vanellus","Vanellus_vanellus",211,226,25.5,3.9,"PG"
