binomial	common_name	Red_list	Amber_list	Green_list	IUCN	Red_list_HD	Red_list_BDp	Red_list_BDr	Red_list_WDp	amb_HD	amb_BDp	amb_BDr	amb_WDMp	amb_spec	amb_BR	amb_BL	amb_WL	amb_BI	amb_WI	Red_amb_list	Red_amb_HD	Red_amb_BDp	Red_amb_BDr	pop_size	range_size
Anas.clypeata	northern_shoveler	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2500	454
Anas.crecca	eurasian_teal	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	4100	1147
Anas.penelope	eurasian_widgeon	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	800	360
Anas.platyrhynchos	mallard	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162100	2596
Anas.querquedula	garganey	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	138	138
Anas.strepera	gadwall	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	1540	357
Anser.anser	greylag_goose	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	36300	258
Anthus.petrosus	rock_pipit	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68000	654
Anthus.pratensis	meadow_pipit	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	3200000	2539
Anthus.trivialis	tree_pipit	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	437092	1524
Apus.apus	common_swift	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160000	2215
Aquila.chrysaetos	golden_eagle	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	844	408
Ardea.cinerea	grey_heron	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26860	2335
Asio.flammeus	short_eared_owl	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	4500	679
Asio.otus	long_eared_owl	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4700	445
Aythya.ferina	common_pochard	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	914	511
Aythya.fuligula	tufted_duck	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15000	1484
Botaurus.stellaris	Great_bittern	1	0	0	0	1	1	1	0	0	0	0	0	1	1	0	1	0	0	1	1	1	1	56	13
Bucephala.clangula	common_goldeneye	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	400	173
Buteo.buteo	common_buzzard	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75100	1544
Calidris.alpina	dunlin	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	1	0	0	0	19050	569
Caprimulgus.europaeus	European_nightjar	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	6800	274
Carduelis.cannabina	Linnet	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1070000	2268
Carduelis.carduelis	goldfinch	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	598000	2209
Carduelis.chloris	greenfinch	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1390000	2323
Carduelis.flammea	lesser_redpoll_surrogate	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	50600	1754
Carduelis.flavirostris	Twite	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	20000	651
Carduelis.spinus	siskin	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	714000	1158
Cepphus.grylle	black_guillemot	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	38142	383
Certhia.familiaris	eurasian_treecreeper	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	408000	2120
Cettia.cetti	cettis_warbler	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1290	86
Charadrius.hiaticula	ringed_plover	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	16800	1025
Charadrius.morinellus	dotterel	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1260	99
Cinclus.cinclus	dipper	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25450	1309
Circus.aeruginosus	marsh_harrier	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	402	114
Circus.cyaneus	Hen_harrier	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	966	498
Columba.livia	rock_dove	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200000	2086
Columba.oenas	stock_dove	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	618000	1821
Columba.palumbus	wood_pgeon	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5490000	2510
Corvus.corax	common_raven	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24000	1131
Corvus.corone	carrion_crow	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1580000	2342
Corvus.frugilegus	rook	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2326000	2237
Corvus.monedula	eurasian_jackdaw	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1006000	2344
Coturnix.coturnix	Common_quail	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	319	804
Cuculus.canorus	common_cuckoo	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	28900	2418
Cyanistes.caeruleus	blue_tit	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6666000	2480
Cygnus.olor	mute_swan	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	10598	1579
Delichon.urbicum	house_sparrow	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	758000	2393
Dendrocopos.major	great_spotted_woodpecker	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81400	1959
Dendrocopos.minor	Lesser_spotted_woodpecker	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	4300	790
Emberiza.cirlus	Cirl_bunting	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1394	29
Emberiza.citrinella	Yellowhammer	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1584000	2224
Emberiza.schoeniclus	Reed_bunting	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	369000	2188
Erithacus.rubecula	robin	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11000000	2629
Falco.columbarius	merlin	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	2600	693
Falco.peregrinus	peregrine_falcon	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2374	1048
Falco.subbuteo	hobby	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4400	625
Falco.tinnunculus	common_kestrel	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	70800	2481
Ficedula.hypoleuca	pied_flycatcher	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75000	732
Fratercula.arctica	atlantic_puffin	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1158378	151
Fringilla.coelebs	common_chaffinch	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11124000	2602
Fulmarus.glacialis	fulmar	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	997528	550
Gallinago.gallinago	common_snipe	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	105000	1806
Gallinula.chloropus	moorhen	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480000	2032
Garrulus.glandarius	eurasian_jay	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320000	1713
Gavia.arctica	Black_throated_diver	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	344	199
Gavia.stellata	red_throated_diver	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	2435	379
Grus.grus	common_crane	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	8	2
Haematopus.ostralegus	oystercatcher	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	226000	1702
Hirundo.rustica	barn_swallow	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1356000	2626
Hydrobates.pelagicus	European_storm_petrel	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	51300	48
Lagopus.lagopus	red_grouse	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	309400	945
Lagopus.muta	ptarmigan	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20000	173
Larus.argentatus	herring_gull	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	145721	729
Larus.canus	common_gull	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	96326	577
Larus.fuscus	lesser_black_backed_gull	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	220202	434
Larus.marinus	great_black_backed_gull	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34168	486
Larus.melanocephalus	mediterranean_gull	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	216	7
Larus.ridibundus	black_headed_gull	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	255814	671
Limosa.limosa	Black_tailed_godwit	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0	1	1	1	0	0	96	96
Lophophanes.cristatus	crested_tit	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4800	51
Loxia.curvirostra	common_crossbill	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21000	763
Loxia.scotica	Scottish_crossbill	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1550	59
Lullula.arborea	Wood_lark	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	2978	73
Melanitta.nigra	Common_scoter	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	190	51
Mergus.merganser	goosander	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5200	674
Mergus.serrator	red_breasted_merganser	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4300	674
Milvus.milvus	red_kite	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	860	85
Morus.bassanus	Northern_gannet	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	437092	18
Motacilla.alba	pied_wagtail	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	585000	2669
Motacilla.cinerea	grey_wagtail	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	75700	1979
Motacilla.flava	yellow_wagtail	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	38000	1047
Muscicapa.striata	Spotted_flycatcher	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	117600	2378
Numenius.arquata	eurasian_curlew	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	210000	1893
Numenius.phaeopus	whimbrel	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1060	83
Oceanodroma.leucorhoa	Leachs_storm_petrel	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	96094	10
Oenanthe.oenanthe	northern_wheatear	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110000	1738
Pandion.haliaetus	osprey	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1	0	0	296	168
Panurus.biarmicus	bearded_tit	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1063	60
Parus.major	great_tit	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3904000	2443
Passer.domesticus	House_sparrow	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	5400000	2525
Passer.montanus	Tree_sparrow	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	136000	1346
Perdix.perdix	Grey_partridge	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	145000	1629
Periparus.ater	coal_tit	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1208000	2315
Pernis.apivorus	european_honey_buzzard	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	102	27
Phalacrocorax.aristotelis	shag	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	54352	386
Phalacrocorax.carbo	great_cormorant	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	16710	174
Phalaropus.lobatus	Red_necked_phalarope	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	32	9
Phoenicurus.ochruros	black_redstart	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	98	103
Phoenicurus.phoenicurus	common_redstart	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	202000	1327
Phylloscopus.collybita	common_chiffchaff	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1498000	2100
Phylloscopus.sibilatrix	wood_warbler	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	34400	1270
Phylloscopus.trochilus	willow_warbler	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	3910000	2602
Pica.pica	magpie	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1180000	1958
Picus.viridis	green_woodpecker	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	48400	1555
Plectrophenax.nivalis	snow_bunting	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	170	42
Pluvialis.apricaria	european_golden_plover_surrogate_P_dominica	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45200	784
Podiceps.auritus	Slavonian_grebe	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	82	24
Podiceps.cristatus	great_crested_grebe	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8000	892
Podiceps.nigricollis	black_necked_grebe	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	102	35
Poecile.montanus	Willow_tit	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	17000	1100
Poecile.palustris	Marsh_tit	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	105600	1133
Prunella.modularis	hedge_accentor	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	4120000	2511
Puffinus.puffinus	Manx_shearwater	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	590158	22
Pyrrhocorax.pyrrhocorax	red_billed_chough	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1361.5	88
Pyrrhula.pyrrhula	Bullfinch	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	315400	2173
Recurvirostra.avosetta	avocet	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1754	28
Regulus.ignicapilla	firecrest	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	330	99
Regulus.regulus	goldcrest	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1546000	2327
Riparia.riparia	sand_martin	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	327500	1559
Rissa.tridactyla	kittiwake	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	733664	252
Saxicola.rubetra	whinchat	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42000	1404
Saxicola.torquata	common_stonechat	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	30500	1034
Sitta.europaea	european_nuthatch	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288000	1270
Somateria.mollissima	common_eider	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	62400	488
Stercorarius.parasiticus	arctic_skua	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4272	113
Stercorarius.skua	great_skua	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	19268	97
Sterna.dougallii	Roseate_tern	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	104	19
Sterna.hirundo	common_tern	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20368	426
Sterna.paradisaea	arctic_tern	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	105242	303
Sterna.sandvicensis	sandwich_tern	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	21072	43
Sternula.albifrons	little_tern	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	3894	110
Streptopelia.decaocto	collared_dove	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	568000	2210
Streptopelia.turtur	Turtle_dove	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	88000	940
Strix.aluco	tawny_owl	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38800	2054
Sturnus.vulgaris	Common_starling	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1474000	2620
Sylvia.atricapilla	blackcap	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1832000	2048
Sylvia.borin	garden_warbler	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380000	1867
Sylvia.communis	common_whitethroat	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1862000	2186
Sylvia.curruca	lesser_whitethroat	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128000	1271
Sylvia.undata	dartford_warbler	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	3490	45
Tachybaptus.ruficollis	little_grebe	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15000	1275
Tadorna.tadorna	common_shelduck	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	21200	959
Tringa.nebularia	greenshank	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2160	243
Tringa.totanus	common_redshank	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	1	0	77200	1473
Troglodytes.troglodytes	wren	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16000000	2747
Turdus.iliacus	redwing	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	19	136
Turdus.merula	blackbird	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9240000	2664
Turdus.philomelos	Song_thrush	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2060000	2620
Turdus.viscivorus	mistle_thrush	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	410000	2397
Uria.aalge	common_guillemot	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1322354	212
Vanellus.vanellus	northern_lapwing	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	308000	2340
